Max of ObservationDate,,,Column Labels,,,,
Row Labels,Longitude,Latitude,0,65,89,99,Grand Total
Spring Barley_2015_-8.371_51.83_90839,-8.371324927,51.83002367,2015-04-09,,,,2015-04-09
Spring Barley_2016_-0.466_54.162_144576,-0.465601165,54.16226259,2016-04-11,,,2016-08-09,2016-08-09
Spring Barley_2016_-0.466_54.162_91740,-0.465601165,54.16226259,2016-04-11,,,2016-09-08,2016-09-08
Spring Barley_2016_-3.046_55.919_87726,-3.046074473,55.91928571,2016-03-23,,2016-08-22,,2016-08-22
Spring Barley_2016_-6.515_52.477_108190,-6.514979764,52.476862,2016-04-28,2016-07-08,,,2016-07-08
Spring Barley_2016_-6.829_52.892_108191,-6.829039524,52.89204985,2016-05-02,,,,2016-05-02
Spring Barley_2016_-6.939_52.784_108201,-6.939489592,52.78425138,2016-03-16,,2016-06-08,2016-07-09,2016-07-09
Spring Barley_2016_-6.939_52.784_108388,-6.939489592,52.78425138,2016-03-22,2016-07-04,2016-08-29,2016-08-31,2016-08-31
Spring Barley_2016_-6.974_52.871_108193,-6.974127191,52.8712846,2016-03-18,,,,2016-03-18
Spring Barley_2016_-8.371_51.83_108302,-8.371324927,51.83002367,2016-03-18,,2016-08-09,,2016-08-09
Spring Barley_2016_-8.371_51.83_108306,-8.371324927,51.83002367,2016-03-18,,2016-08-09,,2016-08-09
Spring Barley_2016_-8.69_51.871_108623,-8.690259366,51.87121701,2016-04-16,,,,2016-04-16
Spring Barley_2017_-0.64_54.238_144968,-0.64003523,54.23794003,2017-03-31,2017-06-29,,,2017-06-29
Spring Barley_2017_-0.64_54.238_144970,-0.64003523,54.23794003,2017-03-25,2017-06-29,,,2017-06-29
Spring Barley_2017_-6.795_52.805_89932,-6.794670761,52.80496909,2017-04-04,,,,2017-04-04
Spring Barley_2017_-8.371_51.83_108303,-8.371324927,51.83002367,2017-03-27,,2017-08-01,,2017-08-01
Spring Barley_2017_-8.371_51.83_108309,-8.371324927,51.83002367,2017-04-07,,2017-08-13,,2017-08-13
Spring Barley_2017_-8.371_51.83_108314,-8.371324927,51.83002367,2017-04-21,,2017-09-01,2017-09-04,2017-09-04
Spring Barley_2017_-8.371_51.83_108315,-8.371324927,51.83002367,2017-04-07,,,,2017-04-07
Spring Barley_2017_-8.371_51.83_108588,-8.371324927,51.83002367,2017-04-07,,,,2017-04-07
Spring Barley_2018_-0.64_54.238_145129,-0.64003523,54.23794003,,2018-07-13,,,2018-07-13
Spring Barley_2018_-0.64_54.238_145137,-0.64003523,54.23794003,,2018-07-13,,,2018-07-13
Spring Barley_2018_-6.515_52.477_108232,-6.514979764,52.476862,2018-05-08,,2018-08-22,,2018-08-22
Spring Barley_2018_-6.803_52.436_108243,-6.802611249,52.43597531,2018-05-10,,,2018-08-20,2018-08-20
Spring Barley_2018_-6.829_52.892_108226,-6.829039524,52.89204985,2018-04-30,2018-06-30,,,2018-06-30
Spring Barley_2018_-7.342_52.265_108396,-7.341542842,52.26521531,2018-05-04,,,2018-08-23,2018-08-23
Spring Barley_2018_-8.371_51.83_108231,-8.371324927,51.83002367,2018-04-21,,,,2018-04-21
Spring Barley_2018_-8.371_51.83_108304,-8.371324927,51.83002367,2018-04-21,2018-07-07,2018-08-14,,2018-08-14
Spring Barley_2018_-8.371_51.83_108312,-8.371324927,51.83002367,2018-04-21,2018-07-05,2018-08-10,2018-09-15,2018-09-15
Spring Barley_2019_-0.64_54.238_145349,-0.64003523,54.23794003,2019-03-19,,,,2019-03-19
Spring Barley_2019_-0.64_54.238_145357,-0.64003523,54.23794003,2019-03-12,,,,2019-03-12
Spring Barley_2019_-2.889_55.935_49810,-2.888521893,55.93542278,2019-04-02,,,,2019-04-02
Spring Barley_2019_-2.894_53.474_49841,-2.893696448,53.47412703,2019-04-30,2019-07-22,,,2019-07-22
Spring Barley_2019_-2.987_55.743_49236,-2.987018518,55.74296662,2019-03-20,,,,2019-03-20
Spring Barley_2019_-6.437_52.671_50780,-6.43749423,52.67149061,2019-03-20,,,,2019-03-20
Spring Barley_2019_-6.745_53.456_49842,-6.744984484,53.45581523,2019-05-01,,2019-08-24,,2019-08-24
Spring Barley_2019_-7.09_52.394_90879,-7.089751554,52.39439765,2019-03-22,,2019-08-21,,2019-08-21
Spring Barley_2019_-8.339_52.112_49838,-8.338989374,52.11222693,2019-03-11,,2019-08-24,,2019-08-24
Spring Barley_2019_-8.371_51.83_91207,-8.371324927,51.83002367,2019-04-08,,,,2019-04-08
Spring Barley_2020_-7.015_52.589_135747,-7.014878278,52.58934516,2020-03-27,,2020-08-30,,2020-08-30
Spring Barley_2020_-8.794_51.762_51290,-8.794227663,51.76185315,2020-03-31,,,,2020-03-31
Grand Total,,,2020-03-31,2019-07-22,2020-08-30,2018-09-15,2020-08-30
